filename	blog	year	country	no_of_token	no_of_sentences	median_sentence_length	n_ratio	v_ratio	unknown_ratio
klockerei_08.txt	klockerei	2018	Österreich	143	9	13.0	0.2785714285714286	0.12142857142857143	0.07142857142857142
klockerei_09.txt	klockerei	2018	Österreich	268	16	14.5	0.19402985074626866	0.15298507462686567	0.055970149253731345
klockerei_10.txt	klockerei	2016	Österreich	278	15	13.0	0.19133574007220217	0.1444043321299639	0.05415162454873646
kochzivilisten_01.txt	kochzivilisten	2017	Deutschland	640	34	15.5	0.2409448818897638	0.09448818897637795	0.09763779527559055
kochzivilisten_02.txt	kochzivilisten	2016	Deutschland	1187	53	20.0	0.2245762711864407	0.10932203389830508	0.1271186440677966
kochzivilisten_03.txt	kochzivilisten	2016	Deutschland	1540	77	16.0	0.2659225213394616	0.103086014445174	0.12220762155059132
kochzivilisten_04.txt	kochzivilisten	2015	Deutschland	1491	78	17.0	0.23024983119513842	0.10398379473328832	0.1087103308575287
kochzivilisten_05.txt	kochzivilisten	2015	Deutschland	921	45	19.0	0.2418655097613883	0.11062906724511931	0.12147505422993492
kochzivilisten_06.txt	kochzivilisten	2015	Deutschland	2539	102	22.0	0.24921630094043887	0.09130094043887148	0.1152037617554859
kochzivilisten_07.txt	kochzivilisten	2015	Deutschland	2296	110	19.5	0.23406113537117904	0.10742358078602621	0.10262008733624454
kochzivilisten_08.txt	kochzivilisten	2014	Deutschland	1185	57	19.0	0.23037974683544304	0.1080168776371308	0.11729957805907174
kochzivilisten_09.txt	kochzivilisten	2014	Deutschland	618	22	25.5	0.23014586709886548	0.1053484602917342	0.08914100486223663
kochzivilisten_10.txt	kochzivilisten	2014	Deutschland	751	34	19.5	0.237017310252996	0.09986684420772303	0.11451398135818908
lamiacucina_01.txt	lamiacucina	2018	Schweiz	812	52	12.5	0.2614622057001239	0.1325898389095415	0.10161090458488228
lamiacucina_02.txt	lamiacucina	2018	Schweiz	472	32	10.5	0.27956989247311825	0.12258064516129032	0.13763440860215054
lamiacucina_03.txt	lamiacucina	2018	Schweiz	710	46	14.0	0.31117397454031115	0.12022630834512023	0.12446958981612447
lamiacucina_04.txt	lamiacucina	2018	Schweiz	324	36	7.5	0.2761904761904762	0.12063492063492064	0.10158730158730159
lamiacucina_05.txt	lamiacucina	2018	Schweiz	524	40	10.0	0.27360308285163776	0.1233140655105973	0.12138728323699421
lamiacucina_06.txt	lamiacucina	2018	Schweiz	215	11	16.0	0.27488151658767773	0.10900473933649289	0.1848341232227488
lamiacucina_07.txt	lamiacucina	2018	Schweiz	460	25	15.0	0.3318777292576419	0.12445414847161572	0.10698689956331878
lamiacucina_08.txt	lamiacucina	2018	Schweiz	919	64	10.0	0.2906077348066298	0.12375690607734807	0.1005524861878453
lamiacucina_09.txt	lamiacucina	2018	Schweiz	417	31	11.0	0.29024390243902437	0.11219512195121951	0.1
lamiacucina_10.txt	lamiacucina	2018	Schweiz	719	50	11.0	0.25280898876404495	0.12219101123595505	0.1348314606741573
man_kanns_essen_01.txt	man_kanns_essen	2017	Deutschland	637	43	13.0	0.22870662460567823	0.14668769716088328	0.0583596214511041
man_kanns_essen_02.txt	man_kanns_essen	2017	Deutschland	532	37	9.0	0.25616698292220114	0.14231499051233396	0.07400379506641366
man_kanns_essen_03.txt	man_kanns_essen	2017	Deutschland	641	39	13.0	0.279874213836478	0.1289308176100629	0.07232704402515723
man_kanns_essen_04.txt	man_kanns_essen	2017	Deutschland	488	33	11.0	0.2712215320910973	0.12836438923395446	0.07453416149068323
man_kanns_essen_05.txt	man_kanns_essen	2016	Deutschland	272	23	11.0	0.25735294117647056	0.14338235294117646	0.07720588235294118
man_kanns_essen_06.txt	man_kanns_essen	2016	Deutschland	482	33	12.0	0.2776617954070981	0.12317327766179541	0.05010438413361169
man_kanns_essen_07.txt	man_kanns_essen	2016	Deutschland	451	27	15.0	0.2866666666666667	0.13111111111111112	0.07111111111111111
man_kanns_essen_08.txt	man_kanns_essen	2016	Deutschland	241	12	18.0	0.3305785123966942	0.10330578512396695	0.1322314049586777
man_kanns_essen_09.txt	man_kanns_essen	2016	Deutschland	227	12	16.0	0.22566371681415928	0.11504424778761062	0.05752212389380531
man_kanns_essen_10.txt	man_kanns_essen	2016	Deutschland	297	16	13.0	0.27702702702702703	0.10135135135135136	0.057432432432432436
mangoseele_01.txt	mangoseele	2016	Deutschland	584	22	22.0	0.2281303602058319	0.12178387650085763	0.08576329331046312
mangoseele_02.txt	mangoseele	2016	Deutschland	411	22	17.5	0.18872549019607843	0.1323529411764706	0.06862745098039216
mangoseele_03.txt	mangoseele	2016	Deutschland	439	22	18.5	0.22758620689655173	0.12183908045977011	0.06666666666666667
mangoseele_04.txt	mangoseele	2015	Deutschland	582	20	25.0	0.20898100172711573	0.12607944732297063	0.05008635578583765
mangoseele_05.txt	mangoseele	2015	Deutschland	446	19	16.0	0.2449438202247191	0.13258426966292136	0.07865168539325842
mangoseele_06.txt	mangoseele	2015	Deutschland	539	25	21.0	0.250936329588015	0.10112359550561797	0.09363295880149813
mangoseele_07.txt	mangoseele	2015	Deutschland	848	36	20.0	0.22958579881656804	0.12544378698224853	0.06390532544378698
mangoseele_08.txt	mangoseele	2015	Deutschland	366	19	17.0	0.21703296703296704	0.13186813186813187	0.0989010989010989
mangoseele_09.txt	mangoseele	2015	Deutschland	545	25	19.0	0.2653061224489796	0.09276437847866419	0.10204081632653061
mangoseele_10.txt	mangoseele	2015	Deutschland	415	17	19.0	0.2179176755447942	0.12590799031476999	0.0387409200968523
ploetzblog_01.txt	ploetzblog	2018	Deutschland	325	20	16.0	0.3115264797507788	0.1059190031152648	0.09657320872274143
ploetzblog_02.txt	ploetzblog	2018	Deutschland	215	13	12.0	0.2938388625592417	0.09004739336492891	0.08056872037914692
ploetzblog_03.txt	ploetzblog	2018	Deutschland	386	24	13.5	0.3193717277486911	0.1256544502617801	0.112565445026178
ploetzblog_04.txt	ploetzblog	2018	Deutschland	326	21	9.0	0.334375	0.096875	0.1
ploetzblog_05.txt	ploetzblog	2018	Deutschland	261	19	10.0	0.2901960784313726	0.12549019607843137	0.08235294117647059
ploetzblog_06.txt	ploetzblog	2018	Deutschland	318	24	9.0	0.34615384615384615	0.09615384615384616	0.08653846153846154
ploetzblog_07.txt	ploetzblog	2018	Deutschland	322	22	12.5	0.3186119873817035	0.10725552050473186	0.11987381703470032
ploetzblog_08.txt	ploetzblog	2018	Deutschland	476	33	12.0	0.28874734607218683	0.1316348195329087	0.09766454352441614
ploetzblog_09.txt	ploetzblog	2018	Deutschland	525	40	10.0	0.27167630057803466	0.1252408477842004	0.1001926782273603
ploetzblog_10.txt	ploetzblog	2018	Deutschland	371	24	11.0	0.29427792915531337	0.12534059945504086	0.07356948228882834
salzindersuppe_01.txt	salzindersuppe	2010	Deutschland	1397	61	14.0	0.29555236728837875	0.0975609756097561	0.11836441893830703
salzindersuppe_02.txt	salzindersuppe	2010	Deutschland	586	34	11.5	0.2810344827586207	0.09655172413793103	0.08620689655172414
salzindersuppe_03.txt	salzindersuppe	2010	Deutschland	2157	98	16.0	0.24302973977695166	0.11895910780669144	0.05994423791821561
salzindersuppe_04.txt	salzindersuppe	2009	Deutschland	701	30	15.5	0.2636103151862464	0.09025787965616046	0.10888252148997135
salzindersuppe_05.txt	salzindersuppe	2009	Deutschland	279	10	22.0	0.3236363636363636	0.09818181818181818	0.10545454545454545
salzindersuppe_06.txt	salzindersuppe	2009	Deutschland	985	27	31.0	0.29897959183673467	0.08775510204081632	0.10918367346938776
salzindersuppe_07.txt	salzindersuppe	2009	Deutschland	691	17	23.0	0.28820960698689957	0.10480349344978165	0.12663755458515283
salzindersuppe_08.txt	salzindersuppe	2009	Deutschland	273	6	21.0	0.3111111111111111	0.11481481481481481	0.0962962962962963
salzindersuppe_09.txt	salzindersuppe	2009	Deutschland	310	11	15.0	0.3583061889250814	0.09120521172638436	0.1270358306188925
salzindersuppe_10.txt	salzindersuppe	2009	Deutschland	344	11	15.0	0.3498542274052478	0.08163265306122448	0.13411078717201166
textundblog_01.txt	textundblog	2018	Deutschland	321	19	13.0	0.2571428571428571	0.10476190476190476	0.08253968253968254
textundblog_02.txt	textundblog	2018	Deutschland	537	25	21.0	0.24339622641509434	0.10754716981132076	0.06415094339622641
textundblog_03.txt	textundblog	2017	Deutschland	233	9	27.0	0.25327510917030566	0.13100436681222707	0.06986899563318777
textundblog_04.txt	textundblog	2017	Deutschland	410	30	11.0	0.24504950495049505	0.12871287128712872	0.05693069306930693
textundblog_05.txt	textundblog	2017	Deutschland	355	18	15.0	0.17464788732394365	0.14647887323943662	0.059154929577464786
textundblog_06.txt	textundblog	2017	Deutschland	531	26	18.0	0.17523809523809525	0.14285714285714285	0.07428571428571429
textundblog_07.txt	textundblog	2017	Deutschland	220	10	22.0	0.1598173515981735	0.1278538812785388	0.0684931506849315
textundblog_08.txt	textundblog	2017	Deutschland	404	17	20.0	0.23308270676691728	0.14285714285714285	0.05263157894736842
textundblog_09.txt	textundblog	2017	Deutschland	551	22	20.5	0.25788497217068646	0.11688311688311688	0.1038961038961039
textundblog_10.txt	textundblog	2017	Deutschland	405	25	14.0	0.25757575757575757	0.12121212121212122	0.12373737373737374
topfundloeffel_01.txt	topfundloeffel	2018	Deutschland	593	40	12.0	0.271523178807947	0.1357615894039735	0.0728476821192053
